time,open,high,low,close,tick_volume,spread,rsi,ovo,cvc,hvh,lvl,ATRr_14,cd_atr,rsi_cat,rsi_diff,body_size,range_size,body_vs_atr,range_vs_atr,candle_color,exec
9/12/2025 14:00,147.739,147.769,147.673,147.673,916,21,52.54683371,-1,-1,-1,-1,0.096449574,-0.68,2,-1,0.066,0.096,0.68,0.99,-1,HOLD
9/12/2025 14:15,147.674,147.736,147.674,147.71,741,20,55.54710963,-1,1,-1,1,0.093478396,0.38,2,1,0.036,0.062,0.37,0.64,1,HOLD
9/12/2025 14:30,147.711,147.747,147.69,147.734,681,20,57.42738115,1,1,1,1,0.090293586,0.26,2,1,0.023,0.057,0.25,0.61,1,TP
9/12/2025 14:45,147.734,147.844,147.726,147.826,895,20,63.75611183,1,1,1,1,0.092674734,1.02,2,1,0.092,0.118,1.02,1.31,1,BUY
9/12/2025 15:00,147.826,147.93,147.795,147.903,1130,20,68.03863001,1,1,1,1,0.096260219,0.83,2,1,0.077,0.135,0.83,1.46,1,HOLD
9/12/2025 15:15,147.905,147.936,147.855,147.908,918,20,68.30055687,1,1,1,1,0.094984434,0.05,2,1,0.003,0.081,0.03,0.84,1,HOLD
9/12/2025 15:30,147.909,148.061,147.907,147.984,1844,20,72.04998444,1,1,1,1,0.099858917,0.8,3,1,0.075,0.154,0.79,1.62,1,HOLD
9/12/2025 15:45,147.984,147.986,147.83,147.837,1135,20,57.80749486,1,-1,-1,-1,0.104444764,-1.47,2,-1,0.147,0.156,1.47,1.56,-1,TP
9/12/2025 16:00,147.838,147.878,147.768,147.833,1339,21,57.47456324,-1,-1,-1,-1,0.104893933,-0.04,2,-1,0.005,0.11,0.05,1.05,-1,SELL
9/12/2025 16:15,147.834,147.87,147.75,147.78,1129,21,53.10993535,-1,-1,-1,-1,0.106103929,-0.51,2,-1,0.054,0.12,0.51,1.14,-1,HOLD
9/12/2025 16:30,147.781,147.857,147.755,147.79,2056,20,53.82247819,-1,1,-1,1,0.10577803,0.09,2,1,0.009,0.102,0.08,0.96,1,HOLD
9/12/2025 16:45,147.79,147.801,147.687,147.707,1505,21,47.38606951,1,-1,-1,-1,0.106425778,-0.78,2,-1,0.083,0.114,0.78,1.08,-1,HOLD
9/12/2025 17:00,147.718,147.733,147.605,147.664,2267,20,44.4222259,-1,-1,-1,-1,0.108113041,-0.4,2,-1,0.054,0.128,0.51,1.2,-1,HOLD
9/12/2025 17:15,147.664,147.681,147.577,147.657,1867,20,43.94040798,-1,-1,-1,-1,0.107793537,-0.06,2,-1,0.007,0.104,0.06,0.96,-1,HOLD
9/12/2025 17:30,147.656,147.716,147.63,147.7,1548,21,47.69353371,-1,1,1,1,0.106111117,0.4,2,1,0.044,0.086,0.41,0.8,1,HOLD
9/12/2025 17:45,147.702,147.737,147.639,147.657,1651,20,44.48613783,1,-1,1,1,0.105488545,-0.41,2,-1,0.045,0.098,0.42,0.92,-1,TP
9/12/2025 18:00,147.656,147.761,147.64,147.744,1564,20,51.58100568,-1,1,1,1,0.106672823,0.82,2,1,0.088,0.121,0.83,1.15,1,WAIT
